I_real,I_imag,V_real,V_imag
449.61765266669977,166.42443123077499,4.23948,0
451.1942182922329,167.89004766114303,4.24534,0
448.6379942162583,165.59632943278848,4.23943,0
450.4304579440233,164.0190447854682,4.2287,0
458.0822102130008,169.16592767567636,4.24045,0
463.342475978322,169.44882997317546,4.23873,0
487.8481491667389,172.79780254270392,4.24451,0
513.1741764824939,178.45952020700418,4.25075,0
531.5768027872642,181.50235100259712,4.25614,0
539.0654876401647,183.5257544195676,4.26052,0
538.5353273337823,182.43735039047218,4.25809,0
542.4342214244543,185.5531710228797,4.26282,0
543.9607266966352,186.51254680494975,4.26246,0
538.8609101838429,183.63012709204426,4.25764,0
532.0485636490588,184.54129796599327,4.26874,0
515.2300569999126,180.80987138114665,4.26677,0
508.8059388002131,180.35095679711193,4.27303,0
497.558500717463,179.22636993419917,4.27412,0
493.18662813302325,175.71792127093633,4.25292,0
485.72989746233986,175.9181421463539,4.27033,0
472.66928908927457,171.3018451764013,4.26062,0
469.5885430369523,172.25456299742092,4.26296,0
463.3227592916187,172.56937912445738,4.25972,0
461.91250829445823,171.17377591828142,4.25334,0
461.8831934109519,170.55549927663193,4.2471,0
455.32649081931646,168.8818596746463,4.24994,0
456.54113146294793,165.959899320683,4.23269,0
453.3063782231901,165.19583355270822,4.23393,0
462.6983477553761,169.300158255818,4.23673,0
469.70963080115274,170.01494568609198,4.23591,0
492.2352640019413,174.74911281302434,4.24695,0
515.1872841360127,178.50895897281808,4.25077,0
537.7147861778992,178.55672522102373,4.22182,0
534.6076483784765,182.64967834418775,4.26262,0
537.1628269807198,181.92288750754068,4.25677,0
540.6823259062222,184.62786178861987,4.25934,0
538.6384492849118,182.10768531818104,4.25766,0
534.1656237244589,180.38473891119457,4.25127,0
530.9403571237088,181.54026919212328,4.25697,0
518.299940360716,181.4505567863548,4.26258,0
507.9167256885061,181.8606521897105,4.27464,0
496.1846587005605,180.67044967622212,4.27266,0
494.93762594797096,178.85017903817254,4.26219,0
486.3355324250566,177.54173408479684,4.27121,0
468.6342886122297,170.77292506984062,4.25185,0
459.2568732822665,168.78337727097477,4.25905,0
448.125892644992,166.23394829615594,4.25549,0
426.12064782288496,160.91944117478425,4.24143,0
429.2743134422546,164.46450443691788,4.24926,0
425.49397445439973,163.0896340789279,4.25076,0
424.6657133806766,162.40304023903326,4.24862,0
433.28530850084377,162.4366668161122,4.23555,0
437.0911135944616,163.95326668826527,4.23867,0
439.89124612007606,164.5827426279155,4.24034,0
462.2325954850202,169.5336917405552,4.24601,0
475.2196826840943,171.18818872407257,4.25255,0
499.00234629911296,174.07935952599362,4.25462,0
531.149831314735,179.8287058573478,4.25382,0
536.7710494548671,183.0074500891168,4.25782,0
542.896533055732,185.65071246851298,4.26331,0
550.2632714533937,188.34421919827744,4.26175,0
552.0754655172102,188.9971991166949,4.26743,0
548.4599664365442,188.21744251111477,4.2712,0
535.853221733307,186.91103502478194,4.27585,0
520.6586127998836,185.06870103099808,4.27422,0
495.4545741306452,179.0673923806929,4.27621,0
486.03059930086783,175.8395571657277,4.26387,0
480.6807185110922,173.64590956213206,4.25675,0
471.10009849622026,170.98557277399635,4.25986,0
470.74666677587663,172.33765787082564,4.26179,0
463.32549190213524,169.91685776768702,4.24906,0
464.17222238520935,170.46285593928008,4.24892,0
461.1629183334908,168.73830285426632,4.24646,0
457.7999696108626,167.98157381181213,4.24835,0
452.2550785816053,166.79675352400022,4.24653,0
452.4865107198941,164.89300058381863,4.23379,0
461.2578762118971,170.82794635975173,4.24884,0
465.5093936792417,170.54886168011996,4.2407,0
481.7982539959003,171.41474596866493,4.24677,0
506.935500261355,175.66837699133478,4.24894,0
525.6966501285372,180.4685561659826,4.25639,0
532.0772973098144,181.432123085972,4.26955,0
532.2836210135131,180.53347378462192,4.26659,0
537.7334968176276,181.56202731927874,4.2567,0
539.4442914875542,184.51193053699976,4.2742,0
536.6734922219715,182.9899038615888,4.26245,0
527.2240086514163,181.9029246206101,4.26437,0
511.35641891206507,179.91574665222768,4.27214,0
509.87633695857187,178.50728234643213,4.25898,0
499.0822080618443,179.0730724930857,4.26752,0
