time,x,y
117.64,378,434
117.84,380,435
118.04,383,436
118.24,380,434
118.44,369,428
118.64,355,422
118.84,348,419
119.04,352,422
119.24,358,423
119.44,364,424
119.64,370,426
119.84,375,429
120.04,379,430
120.24,383,432
120.44,387,433
120.64,390,434
120.84,384,439
121.04,355,433
121.24,330,423
121.44,309,402
121.64,295,391
121.84,289,377
122.04,306,392
122.24,344,423
122.44,364,434
122.64,364,431
122.84,363,428
123.04,358,426
123.24,350,419
123.44,355,420
123.64,359,420
123.84,366,421
124.04,372,424
124.24,376,427
124.44,381,429
124.64,385,431
124.84,384,432
125.04,374,430
125.24,367,426
125.44,360,423
125.64,356,420
125.84,357,419
126.04,362,421
126.24,366,423
126.44,369,425
126.64,374,427
126.84,378,430
127.04,383,432
127.24,386,434
127.44,376,427
127.64,361,427
127.84,353,420
128.04,351,416
128.24,354,417
128.44,357,419
128.64,361,421
128.84,365,422
129.04,369,424
129.24,372,427
129.44,376,429
129.64,379,430
129.84,382,432
130.04,382,431
130.24,368,424
130.44,362,421
130.64,354,418
130.84,355,417
131.04,358,419
131.24,362,421
131.44,366,422
131.64,372,424
131.84,375,427
132.04,379,428
132.24,383,430
132.44,384,429
132.64,374,426
132.84,371,426
133.04,355,419
133.24,352,415
133.44,356,418
133.64,362,420
133.84,368,421
134.04,374,423
134.24,379,426
134.44,382,429
134.64,386,431
134.84,391,432
135.04,391,433
135.24,388,432
135.44,377,427
135.64,365,421
135.84,358,418
136.04,354,415
136.24,351,412
136.44,350,408
136.64,350,413
136.84,355,416
137.04,361,418
137.24,367,422
137.44,371,424
137.64,375,427
137.84,376,428
138.04,371,432
138.24,372,432
138.44,372,432
138.64,358,425
138.84,348,420
139.04,348,420
139.24,348,422
139.44,350,423
139.64,351,424
139.84,352,424
140.04,355,424
140.24,358,426
140.44,360,427
140.64,363,428
140.84,366,428
141.04,370,430
141.24,374,431
141.44,378,432
141.64,382,434
141.84,386,435
142.04,389,436
142.24,391,437
142.44,389,436
142.64,384,434
142.84,376,430
143.04,367,427
